CSE 1104,
CSE 1105,
CSE 1310,
CSE 1320,CSE 1104|CSE 1105|CSE 1310
CSE 1325,CSE 1320
CSE 2312,CSE 1320
CSE 2315,CSE 1310
CSE 2320,CSE 1320|CSE 2315
CSE 3302,CSE 1325|CSE 2320
CSE 3310,CSE 1325|CSE 2315
CSE 3315,CSE 2315
CSE 3316,CSE 3310
CSE 3320,CSE 2312
CSE 3330,CSE 1325|CSE 2320
CSE 4316,CSE 3310|CSE 3320
CSE 4317,CSE 4316
